电影名称,评分,评价人数
电影名称,评分,评价人数
电影名称,评分,评价人数
肖申克的救赎,9.7,3055823人评价
霸王别姬,9.6,2257327人评价
阿甘正传,9.5,2276281人评价
泰坦尼克号,9.5,2316081人评价
千与千寻,9.4,2364904人评价
这个杀手不太冷,9.4,2399110人评价
美丽人生,9.5,1392027人评价
星际穿越,9.4,1985478人评价
盗梦空间,9.4,2178154人评价
楚门的世界,9.4,1841325人评价
辛德勒的名单,9.5,1177269人评价
忠犬八公的故事,9.4,1458222人评价
海上钢琴师,9.3,1759131人评价
三傻大闹宝莱坞,9.2,1950823人评价
放牛班的春天,9.3,1382564人评价
机器人总动员,9.3,1387955人评价
疯狂动物城,9.2,2073096人评价
无间道,9.3,1452131人评价
控方证人,9.6,628094人评价
大话西游之大圣娶亲,9.2,1607968人评价
熔炉,9.3,978734人评价
教父,9.3,1027060人评价
触不可及,9.3,1194100人评价
当幸福来敲门,9.2,1593610人评价
寻梦环游记,9.1,1801787人评价
末代皇帝,9.3,948992人评价
龙猫,9.2,1331481人评价
怦然心动,9.1,1928472人评价
哈利·波特与魔法石,9.2,1278839人评价
活着,9.3,902202人评价
蝙蝠侠：黑暗骑士,9.2,1121301人评价
指环王3：王者无敌,9.3,850263人评价
我不是药神,9.0,2213583人评价
乱世佳人,9.3,732334人评价
飞屋环游记,9.1,1400673人评价
素媛,9.3,727110人评价
哈尔的移动城堡,9.1,1165330人评价
十二怒汉,9.4,529924人评价
让子弹飞,9.0,1795313人评价
何以为家,9.1,1100129人评价
海蒂和爷爷,9.3,686382人评价
猫鼠游戏,9.1,1106445人评价
摔跤吧！爸爸,9.0,1644433人评价
天空之城,9.2,939558人评价
鬼子来了,9.3,664479人评价
少年派的奇幻漂流,9.1,1411540人评价
钢琴家,9.3,689697人评价
指环王2：双塔奇兵,9.2,798950人评价
大话西游之月光宝盒,9.0,1280904人评价
闻香识女人,9.1,946177人评价
死亡诗社,9.2,790936人评价
绿皮书,8.9,1753223人评价
大闹天宫,9.4,469103人评价
罗马假日,9.1,992622人评价
黑客帝国,9.1,884554人评价
指环王1：护戒使者,9.1,896515人评价
天堂电影院,9.2,706711人评价
教父2,9.3,589726人评价
狮子王,9.1,896414人评价
